year,brand,model,mileage,condition,body_type,color,drive_type,fuel,drive_setup,transmission,interior_type,door_count,star,review_no,date_posted,price
2011,chevrolet,aveo,86000,locally used,saloons,grey,na,petrol,na,automatic,cloth,NA,5,1,2020-07-30,650000
2004,toyota,sequoia,,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-07-29,1200000
2007,toyota,highlander,98000,locally used,4 wheel drives & suvs,gold,na,petrol,na,automatic,leather,NA,5,8,2020-07-30,1100000
2008,nissan,sunny,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,manual,cloth,4,5,2,2020-07-29,850000
2008,toyota,rav4,,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,7,2020-07-30,1650000
2011,toyota,camry,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-30,1780000
2007,honda,civic,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,19,2020-07-30,900000
2003,toyota,corolla,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-07-30,1180000
1999,toyota,camry,,locally used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-08-01,630000
2011,toyota,camry,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-08-02,1950000
2004,honda,accord,,locally used,saloons,grey,na,petrol,lefthand drive,automatic,leather,4,5,37,2020-07-30,790000
2005,lexus,rx,,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-07-31,2100000
2001,toyota,corolla,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-07-31,650000
2008,honda,accord,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,37,2020-07-30,950000
2008,honda,cr-v,,locally used,4 wheel drives & suvs,black,na,petrol,lefthand drive,automatic,leather,4,5,6,2020-07-30,1500000
1999,toyota,camry,,locally used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-08-07,690000
2001,toyota,camry,,locally used,saloons,gold,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-08-07,680000
2004,toyota,sequoia,,locally used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-08-05,950000
2009,toyota,corolla,,locally used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-08-06,2300000
2008,toyota,fjcruiser,,locally used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-08-10,2000000
2000,toyota,corolla,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-08-13,950000
1999,toyota,camry,,locally used,saloons,dark green,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-08-13,680000
2008,toyota,highlander,,locally used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,8,2020-08-16,2800000
2003,toyota,rav4,,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,7,2020-08-13,980000
2006,honda,accord,,locally used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,37,2020-08-22,580000
