year,brand,model,mileage,condition,body_type,color,drive_type,fuel,drive_setup,transmission,interior_type,door_count,star,review_no,date_posted,price
2013,toyota,sienna,73,foreign used,"buses, taxis and vans",blue,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,4,2020-07-15,7300000
2009,toyota,camry,89,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-08-03,2450000
2014,lexus,gx,96,foreign used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-07-16,16350000
2018,lexus,rx,15,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-08-03,21000000
2009,toyota,matrix,85,foreign used,hatchbacks,silver,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,3,2020-06-22,3100000
2014,lexus,rx,40,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-07-06,8850000
2008,honda,accord,58,foreign used,saloons,white,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,37,2020-07-07,2450000
2010,lexus,rx,52,foreign used,4 wheel drives & suvs,blue,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-30,6850000
2009,lexus,is,88,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-07-17,3350000
2015,land-rover,range-rover-evoque,62,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-15,12600000
2014,lexus,es,78,foreign used,saloons,white,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-08-03,8850000
2016,toyota,highlander,51,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,8,2020-06-24,11800000
2009,toyota,sienna,93,foreign used,"buses, taxis and vans",blue,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,4,2020-07-15,2350000
2020,land-rover,range-rover-vogue,35,brand new,4 wheel drives & suvs,dark green,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-23,165000000
2010,toyota,camry,91,foreign used,saloons,gold,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-06-19,3450000
2014,honda,accord,66,foreign used,saloons,gold,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,37,2020-06-19,4750000
2007,mercedes-benz,c230,96,foreign used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-30,2650000
2012,toyota,corolla,96,foreign used,saloons,gold,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-06-17,3350000
2016,toyota,corolla,80,foreign used,saloons,green,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-06-12,4750000
2015,mercedes-benz,c300,37,foreign used,saloons,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-06-22,9100000
2016,toyota,camry,51,foreign used,saloons,dark blue,2 wheel drive,petrol,lefthand drive,automatic,other,4,5,56,2020-06-22,5650000
2015,honda,accord-crosstour,25000,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-11,5850000
2007,toyota,corolla,93,foreign used,saloons,blue,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-07-03,2050000
2013,toyota,corolla,51,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-06-19,3500000
2005,toyota,matrix,106,foreign used,hatchbacks,blue,4 wheel drive,petrol,lefthand drive,automatic,cloth,3,4,3,2020-06-19,1850000
2008,honda,accord,96,foreign used,saloons,white,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,37,2020-06-10,2550000
2005,toyota,solara,89,foreign used,convertibles,white,2 wheel drive,petrol,lefthand drive,automatic,leather,2,0,0,2020-06-23,1750000
2008,lexus,gx,67342,locally used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-08-20,3400000
2000,volkswagen,transporter,,foreign used,"buses, taxis and vans",green,2 wheel drive,diesel,lefthand drive,manual,cloth,3,0,0,2020-08-20,1550000
2011,lexus,es,67460,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-08-20,4550000
2005,toyota,prius,81663,foreign used,saloons,gold,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-20,1990000
2017,mercedes-benz,e300,23170,foreign used,saloons,white,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-20,19500000
2008,toyota,camry,73467,locally used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-08-20,1750000
2008,toyota,sienna,64882,locally used,"buses, taxis and vans",dark grey,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,4,2020-08-20,1650000
2017,lexus,rx,8463,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-08-20,17000000
2009,mercedes-benz,s350,,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-20,7800000
2010,lexus,es,,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-08-20,4300000
2006,lexus,gx,64782,locally used,4 wheel drives & suvs,blue,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-08-20,2700000
2004,toyota,camry,65882,locally used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-08-20,1290000
2008,toyota,avalon,64772,locally used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,4,5,2020-08-20,1690000
2013,toyota,camry,64782,locally used,saloons,gold,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-08-20,2950000
2013,mercedes-benz,ml350,45327,foreign used,4 wheel drives & suvs,brown,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-20,10000000
