year,brand,model,mileage,condition,body_type,color,drive_type,fuel,drive_setup,transmission,interior_type,door_count,star,review_no,date_posted,price
2012,lexus,rx,69854,foreign used,4 wheel drives & suvs,red,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-07-14,6580000
2011,honda,pilot,102663,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-07-14,4700000
2005,toyota,matrix,91883,foreign used,hatchbacks,grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,3,2020-07-13,1790000
2005,toyota,highlander,81779,foreign used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,8,2020-07-13,2590000
2009,toyota,camry,80768,foreign used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-07-15,2160000
2003,lexus,es,91887,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-07-13,1740000
2007,mazda,cx-9,64882,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-07-15,3300000
2007,honda,cr-v,91883,foreign used,4 wheel drives & suvs,red,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-07-14,2350000
2012,toyota,camry,81773,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-21,3790000
2006,honda,accord,102773,locally used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,37,2020-07-16,990000
2007,toyota,camry,81773,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-07-19,2260000
2015,toyota,avalon,66199,foreign used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,4,5,2020-07-16,7350000
2010,mercedes-benz,e350,70030,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-07-19,3450000
2010,toyota,venza,71883,foreign used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,3,2020-07-16,5400000
2007,lexus,es,139110,locally used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-07-19,2550000
2007,toyota,corolla,56444,foreign used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-07-15,2050000
2003,toyota,matrix,91653,foreign used,hatchbacks,silver,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,3,2020-07-15,1770000
2010,toyota,matrix,81773,foreign used,hatchbacks,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,3,2020-07-23,2550000
2006,toyota,avalon,102773,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,4,5,2020-07-22,2230000
2010,toyota,camry,91883,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-07-22,3470000
2007,honda,cr-v,81991,locally used,4 wheel drives & suvs,green,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-07-23,1680000
2014,mercedes-benz,cla-class,47329,foreign used,saloons,maroon,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-07-21,13200000
2005,toyota,highlander,81889,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,8,2020-07-21,2870000
2011,lexus,rx,141386,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-07-27,6350000
2007,toyota,yaris,98449,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,2,2020-07-27,1880000
2009,toyota,matrix,81773,foreign used,hatchbacks,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,3,2020-07-30,2450000
2011,hyundai,sonata,158173,foreign used,saloons,dark grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-07-24,2950000
2010,toyota,camry,41367,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-24,3360000
2007,toyota,camry,81553,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-23,2430000
2007,toyota,camry,80567,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-30,2390000
2011,mercedes-benz,glk,81952,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,3,2020-07-24,5250000
