year,brand,model,mileage,condition,body_type,color,drive_type,fuel,drive_setup,transmission,interior_type,door_count,star,review_no,date_posted,price
2006,acura,mdx,,foreign used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-07-28,2400000
2013,nissan,quest,,foreign used,"buses, taxis and vans",white,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-07-28,3000000
2009,toyota,avalon,,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,4,5,2020-07-28,2800000
2005,lexus,es,,foreign used,saloons,gold,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-07-28,2650000
2008,toyota,camry,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-28,2600000
2005,lexus,es,,foreign used,saloons,gold,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-07-28,2800000
2004,toyota,camry,,foreign used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-07-28,1750000
2013,toyota,camry,,foreign used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-28,4000000
2010,lexus,es,,foreign used,saloons,dark blue,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-07-28,4000000
2013,toyota,camry,,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-28,4550000
2012,lexus,es,,foreign used,saloons,dark blue,2 wheel drive,electric,lefthand drive,automatic,leather,4,5,6,2020-07-28,4000000
2012,honda,accord,,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,37,2020-07-28,2800000
2008,acura,mdx,,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-07-28,3400000
2008,toyota,camry,,foreign used,saloons,gold,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-28,2500000
2006,toyota,camry,,foreign used,saloons,red,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-07-28,1800000
2009,lexus,is,8652,foreign used,saloons,maroon,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-09-04,5000000
2015,toyota,land-cruiser-prado,75424,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-23,14000000
2010,toyota,camry,9542,foreign used,saloons,gold,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-08-19,3200000
2005,toyota,sienna,12345,foreign used,"buses, taxis and vans",grey,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,4,2020-08-19,2650000
2015,mercedes-benz,cla-class,6821,foreign used,saloons,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-13,9800000
2014,toyota,land-cruiser-prado,46930,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-05,18300000
2014,toyota,land-cruiser-prado,75000,brand new,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-05-14,13500000
2010,toyota,camry,95213,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-08-31,2700000
2011,mercedes-benz,e350,97542,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-08-04,4000000
2005,lexus,rx,98742,locally used,4 wheel drives & suvs,gold,4 wheel drive,petrol,lefthand drive,manual,leather,4,5,1,2020-08-26,2350000
2017,toyota,rav4,45213,locally used,4 wheel drives & suvs,maroon,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,7,2020-08-21,7800000
