year,brand,model,mileage,condition,body_type,color,drive_type,fuel,drive_setup,transmission,interior_type,door_count,star,review_no,date_posted,price
2014,mercedes-benz,s550,26700,foreign used,saloons,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-07-16,27000000
2016,bmw,x5,53000,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-14,23000000
2019,land-rover,range-rover-vogue,4300,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-18,120000000
2011,lexus,gx,82500,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-07-18,12000000
2018,land-rover,range-rover-vogue,22500,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-07-18,50000000
2014,land-rover,range-rover-sport,23000,foreign used,4 wheel drives & suvs,gold,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-07-16,21000000
2020,land-rover,range-rover-vogue,150,brand new,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-11,160000000
2018,mercedes-benz,gle-43,7900,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-09,34000000
2018,lexus,lx,16800,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-06-11,51000000
2014,land-rover,range-rover-sport,26800,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-06-14,25000000
2020,lexus,lx,35,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-07-19,73000000
2020,toyota,land-cruiser,70,brand new,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-06-09,57000000
2019,lexus,gx,750,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-06-17,34000000
2014,toyota,land-cruiser,21600,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-08-17,17500000
2014,land-rover,range-rover-sport,25600,foreign used,4 wheel drives & suvs,red,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-08-17,22000000
2019,lexus,gx,12790,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-08-17,33000000
2019,lexus,rx,3000,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-08-16,24500000
2017,lexus,rx,16590,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-08-16,17000000
2018,mercedes-benz,gle-350,4500,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-16,19000000
2018,land-rover,range-rover-vogue,13300,foreign used,4 wheel drives & suvs,black,other,petrol,lefthand drive,automatic,leather,4,0,0,2020-07-19,95000000
2016,lexus,rx,9800,foreign used,4 wheel drives & suvs,gold,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-07-23,17000000
2018,toyota,highlander,19800,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,8,2020-08-08,16000000
2019,toyota,highlander,4860,foreign used,4 wheel drives & suvs,brown,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,8,2020-07-23,23000000
2019,lexus,gx,5900,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-07-23,31000000
2016,mercedes-benz,c450,50300,locally used,saloons,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-07-21,17000000
2014,mercedes-benz,glk,9600,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,3,2020-07-23,9500000
2013,mercedes-benz,ml350,90290,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-20,10500000
2014,mercedes-benz,e350,31600,foreign used,saloons,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-09-03,10000000
2018,lexus,rx,6000,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-08-28,22000000
2015,mercedes-benz,g-63-amg,32300,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-28,46000000
2014,mercedes-benz,cla-class,19580,foreign used,saloons,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-19,11000000
2013,mercedes-benz,ml350,45600,locally used,4 wheel drives & suvs,brown,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-31,9500000
2013,toyota,venza,56400,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,3,2020-08-27,6000000
2011,toyota,venza,36200,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,3,2020-08-28,6800000
2008,mercedes-benz,c300,130540,foreign used,saloons,dark blue,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-09-02,3900000
2009,mercedes-benz,c300,18600,foreign used,saloons,white,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-08-27,4500000
2008,lexus,es,119800,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-08-31,3800000
2016,mercedes-benz,gle-350,24300,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-18,17000000
2011,honda,cr-v,87000,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-06-28,3200000
2008,honda,cr-v,,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,6,2020-07-22,2800000
2009,honda,accord,73000,foreign used,saloons,dark grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,37,2020-08-09,2500000
2014,honda,civic,80000,foreign used,coupes,red,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,19,2020-08-09,4500000
2013,hyundai,tucson,60000,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-09,4500000
2014,honda,civic,70000,foreign used,saloons,dark grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,19,2020-08-09,4500000
2004,mercedes-benz,e320,85000,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-09,2700000
2013,mercedes-benz,c350,45000,foreign used,coupes,white,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,4,2020-08-09,6500000
